;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
35;?;;PUNCT;.;punct;[38, 39];?;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;10
36;;;;;;;;;;;;;
37;cersei_lannister By;;ADP;IN;ROOT;[0, 2];By;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;1
38;what;;PRON;WP;nsubj;[3, 7];what;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;2
39;right;;NOUN;NN;advmod;[8, 13];right;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;3
40;dare;;VERB;VBP;pcomp;[14, 18];dare;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;4
41;you;robert_baratheon;PRON;PRP;nsubj;[19, 22];you;cersei_lannister;;7;GameOfThrones.Season01.Episode06;5;5
42;lay;;VERB;VBP;ccomp;[23, 26];lay;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;6
43;hands;;NOUN;NNS;dobj;[27, 32];hand;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;7
44;on;;ADP;IN;prep;[33, 35];on;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;8
45;my;cersei_lannister;DET;PRP$;poss;[36, 38];my;cersei_lannister;;8;GameOfThrones.Season01.Episode06;5;9
46;blood;;NOUN;NN;pobj;[39, 44];blood;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;10
47;?;;PUNCT;.;punct;[45, 46];?;cersei_lannister;;;GameOfThrones.Season01.Episode06;5;11
48;;;;;;;;;;;;;
49;eddard_stark I;eddard_stark;PRON;PRP;nsubj;[0, 1];I;eddard_stark;;9;GameOfThrones.Season01.Episode06;6;1
50;am;;AUX;VBP;ROOT;[2, 4];am;eddard_stark;;;GameOfThrones.Season01.Episode06;6;2
51;the;;DET;DT;det;[5, 8];the;eddard_stark;;;GameOfThrones.Season01.Episode06;6;3
52;King;;PROPN;NNP;attr;[9, 13];King;eddard_stark;;;GameOfThrones.Season01.Episode06;6;4
53;’s;;PART;POS;punct;[14, 16];’s;eddard_stark;;;GameOfThrones.Season01.Episode06;6;5
54;Hand;;PROPN;NNP;appos;[17, 21];Hand;eddard_stark;;;GameOfThrones.Season01.Episode06;6;6
55;-;;PUNCT;HYPH;ROOT;[22, 23];-;eddard_stark;;;GameOfThrones.Season01.Episode06;6;7
56;.;;PUNCT;.;punct;[24, 25];.;eddard_stark;;;GameOfThrones.Season01.Episode06;6;8
57;;;;;;;;;;;;;
58;cersei_lannister You;eddard_stark;PRON;PRP;nsubj;[0, 3];You;cersei_lannister;;10;GameOfThrones.Season01.Episode06;7;1
59;were;;AUX;VBD;ROOT;[4, 8];were;cersei_lannister;;;GameOfThrones.Season01.Episode06;7;2
60;the;;DET;DT;det;[9, 12];the;cersei_lannister;;;GameOfThrones.Season01.Episode06;7;3
61;King;;PROPN;NNP;attr;[13, 17];King;cersei_lannister;;;GameOfThrones.Season01.Episode06;7;4
62;’s;;PUNCT;'';punct;[18, 20];’s;cersei_lannister;;;GameOfThrones.Season01.Episode06;7;5
63;Hand;;PROPN;NNP;appos;[21, 25];Hand;cersei_lannister;;;GameOfThrones.Season01.Episode06;7;6
64;!;;PUNCT;.;punct;[26, 27];!;cersei_lannister;;;GameOfThrones.Season01.Episode06;7;7
65;;;;;;;;;;;;;
66;eddard_stark -;;PUNCT;:;punct;[0, 1];-;eddard_stark;;;GameOfThrones.Season01.Episode06;8;1
67;trying;;VERB;VBG;ROOT;[2, 8];trying;eddard_stark;;;GameOfThrones.Season01.Episode06;8;2
68;to;;PART;TO;aux;[9, 11];to;eddard_stark;;;GameOfThrones.Season01.Episode06;8;3
69;keep;;VERB;VB;xcomp;[12, 16];keep;eddard_stark;;;GameOfThrones.Season01.Episode06;8;4
70;the;;DET;DT;det;[17, 20];the;eddard_stark;;;GameOfThrones.Season01.Episode06;8;5
71;peace;;NOUN;NN;dobj;[21, 26];peace;eddard_stark;;;GameOfThrones.Season01.Episode06;8;6
72;-;;PUNCT;:;punct;[27, 28];-;eddard_stark;;;GameOfThrones.Season01.Episode06;8;7
73;.;;PUNCT;.;punct;[29, 30];.;eddard_stark;;;GameOfThrones.Season01.Episode06;8;8
74;;;;;;;;;;;;;
75;cersei_lannister You;eddard_stark;PRON;PRP;nsubjpass;[0, 3];You;cersei_lannister;;11;GameOfThrones.Season01.Episode06;9;1
76;shall;;VERB;MD;aux;[4, 9];shall;cersei_lannister;;;GameOfThrones.Season01.Episode06;9;2
77;now;;ADV;RB;advmod;[10, 13];now;cersei_lannister;;;GameOfThrones.Season01.Episode06;9;3
78;be;;AUX;VB;auxpass;[14, 16];be;cersei_lannister;;;GameOfThrones.Season01.Episode06;9;4
79;held;;VERB;VBN;ROOT;[17, 21];held;cersei_lannister;;;GameOfThrones.Season01.Episode06;9;5
80;accountable;;ADJ;JJ;oprd;[22, 33];accountable;cersei_lannister;;;GameOfThrones.Season01.Episode06;9;6
81;.;;PUNCT;.;punct;[34, 35];.;cersei_lannister;;;GameOfThrones.Season01.Episode06;9;7
82;;;;;;;;;;;;;
83;robert_baratheon Oh;;INTJ;UH;intj;[0, 2];Oh;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;1
84;,;;PUNCT;,;punct;[3, 4];,;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;2
85;will;will;VERB;MD;aux;[5, 9];will;robert_baratheon;;12;GameOfThrones.Season01.Episode06;10;3
86;both;;DET;DT;nsubj;[10, 14];both;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;4
87;of;;ADP;IN;prep;[15, 17];of;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;5
88;you;cersei_lannister;PRON;PRP;pobj;[18, 21];you;robert_baratheon;;13;GameOfThrones.Season01.Episode06;10;6
89;shut;;VERB;VBP;ROOT;[22, 26];shut;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;7
90;your;cersei_lannister;DET;PRP$;poss;[27, 31];your;robert_baratheon;;14;GameOfThrones.Season01.Episode06;10;8
91;mouths;;NOUN;NNS;dobj;[32, 38];mouth;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;9
92;?;;PUNCT;.;punct;[39, 40];?;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;10
93;Catelyn;catelyn_stark;PROPN;NNP;nsubj;[41, 48];Catelyn;robert_baratheon;GPE;15;GameOfThrones.Season01.Episode06;10;11
94;will;will;VERB;MD;aux;[49, 53];will;robert_baratheon;;16;GameOfThrones.Season01.Episode06;10;12
95;release;;VERB;VB;ROOT;[54, 61];release;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;13
96;Tyrion;tyrion_lannister;PROPN;NNP;dobj;[62, 68];Tyrion;robert_baratheon;;17;GameOfThrones.Season01.Episode06;10;14
97;and;;CCONJ;CC;cc;[69, 72];and;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;15
98;you;cersei_lannister;PRON;PRP;nsubj;[73, 76];you;robert_baratheon;;18;GameOfThrones.Season01.Episode06;10;16
99;’ll;;VERB;MD;aux;[77, 80];’ll;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;17
100;make;;VERB;VB;conj;[81, 85];make;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;18
101;your;cersei_lannister;DET;PRP$;poss;[86, 90];your;robert_baratheon;;19;GameOfThrones.Season01.Episode06;10;19
102;peace;;NOUN;NN;dobj;[91, 96];peace;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;20
103;with;;ADP;IN;prep;[97, 101];with;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;21
104;Jaime;jaime_lannister;PROPN;NNP;pobj;[102, 107];Jaime;robert_baratheon;PERSON;20;GameOfThrones.Season01.Episode06;10;22
105;.;;PUNCT;.;punct;[108, 109];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;10;23
106;;;;;;;;;;;;;
107;eddard_stark He;UNKNOWN;PRON;PRP;nsubj;[0, 2];He;eddard_stark;;21;GameOfThrones.Season01.Episode06;11;1
108;butchered;;VERB;VBD;ROOT;[3, 12];butchered;eddard_stark;;;GameOfThrones.Season01.Episode06;11;2
109;my;eddard_stark;DET;PRP$;poss;[13, 15];my;eddard_stark;;22;GameOfThrones.Season01.Episode06;11;3
110;men;;NOUN;NNS;dobj;[16, 19];men;eddard_stark;;;GameOfThrones.Season01.Episode06;11;4
111;.;;PUNCT;.;punct;[20, 21];.;eddard_stark;;;GameOfThrones.Season01.Episode06;11;5
112;;;;;;;;;;;;;
113;cersei_lannister Lord;lord_varys;PROPN;NNP;compound;[0, 4];Lord;cersei_lannister;;23;GameOfThrones.Season01.Episode06;12;1
114;Stark;benjen_stark;PROPN;NNP;nsubj;[5, 10];Stark;cersei_lannister;;24;GameOfThrones.Season01.Episode06;12;2
115;was;;AUX;VBD;aux;[11, 14];wa;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;3
116;returning;;VERB;VBG;ROOT;[15, 24];returning;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;4
117;drunk;;ADJ;JJ;acomp;[25, 30];drunk;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;5
118;from;;ADP;IN;prep;[31, 35];from;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;6
119;a;;DET;DT;det;[36, 37];a;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;7
120;brothel;;NOUN;NN;pobj;[38, 45];brothel;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;8
121;when;;ADV;WRB;advmod;[46, 50];when;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;9
122;his;UNKNOWN;DET;PRP$;poss;[51, 54];his;cersei_lannister;;25;GameOfThrones.Season01.Episode06;12;10
123;men;;NOUN;NNS;nsubj;[55, 58];men;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;11
124;attacked;;VERB;VBD;advcl;[59, 67];attacked;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;12
125;Jaime;jaime_lannister;PROPN;NNP;dobj;[68, 73];Jaime;cersei_lannister;;26;GameOfThrones.Season01.Episode06;12;13
126;.;;PUNCT;.;punct;[74, 75];.;cersei_lannister;;;GameOfThrones.Season01.Episode06;12;14
127;;;;;;;;;;;;;
128;robert_baratheon Quiet;;PROPN;NNP;ROOT;[0, 5];Quiet;robert_baratheon;;;GameOfThrones.Season01.Episode06;13;1
129;,;;PUNCT;,;punct;[6, 7];,;robert_baratheon;;;GameOfThrones.Season01.Episode06;13;2
130;woman;;NOUN;NN;appos;[8, 13];woman;robert_baratheon;;;GameOfThrones.Season01.Episode06;13;3
131;.;;PUNCT;.;punct;[14, 15];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;13;4
132;;;;;;;;;;;;;
133;eddard_stark Jaime;jaime_lannister;PROPN;NNP;nsubj;[0, 5];Jaime;eddard_stark;;27;GameOfThrones.Season01.Episode06;14;1
134;has;;AUX;VBZ;aux;[6, 9];ha;eddard_stark;;;GameOfThrones.Season01.Episode06;14;2
135;fled;;VERB;VBN;ROOT;[10, 14];fled;eddard_stark;;;GameOfThrones.Season01.Episode06;14;3
136;the;;DET;DT;det;[15, 18];the;eddard_stark;;;GameOfThrones.Season01.Episode06;14;4
137;city;;NOUN;NN;dobj;[19, 23];city;eddard_stark;;;GameOfThrones.Season01.Episode06;14;5
138;.;;PUNCT;.;punct;[24, 25];.;eddard_stark;;;GameOfThrones.Season01.Episode06;14;6
139;Give;;VERB;VB;ROOT;[26, 30];Give;eddard_stark;;;GameOfThrones.Season01.Episode06;14;7
140;me;eddard_stark;PRON;PRP;dative;[31, 33];me;eddard_stark;;28;GameOfThrones.Season01.Episode06;14;8
141;leave;;VERB;VB;dobj;[34, 39];leave;eddard_stark;;;GameOfThrones.Season01.Episode06;14;9
142;to;;PART;TO;aux;[40, 42];to;eddard_stark;;;GameOfThrones.Season01.Episode06;14;10
143;bring;;VERB;VB;xcomp;[43, 48];bring;eddard_stark;;;GameOfThrones.Season01.Episode06;14;11
144;him;UNKNOWN;PRON;PRP;dobj;[49, 52];him;eddard_stark;;29;GameOfThrones.Season01.Episode06;14;12
145;back;;ADV;RB;advmod;[53, 57];back;eddard_stark;;;GameOfThrones.Season01.Episode06;14;13
146;to;;ADP;IN;prep;[58, 60];to;eddard_stark;;;GameOfThrones.Season01.Episode06;14;14
147;justice;;NOUN;NN;pobj;[61, 68];justice;eddard_stark;;;GameOfThrones.Season01.Episode06;14;15
148;.;;PUNCT;.;punct;[69, 70];.;eddard_stark;;;GameOfThrones.Season01.Episode06;14;16
149;;;;;;;;;;;;;
150;cersei_lannister I;cersei_lannister;PRON;PRP;nsubj;[0, 1];I;cersei_lannister;;30;GameOfThrones.Season01.Episode06;15;1
151;took;;VERB;VBD;ROOT;[2, 6];took;cersei_lannister;;;GameOfThrones.Season01.Episode06;15;2
152;you;eddard_stark;PRON;PRP;dobj;[7, 10];you;cersei_lannister;;31;GameOfThrones.Season01.Episode06;15;3
153;for;;ADP;IN;prep;[11, 14];for;cersei_lannister;;;GameOfThrones.Season01.Episode06;15;4
154;a;;DET;DT;det;[15, 16];a;cersei_lannister;;;GameOfThrones.Season01.Episode06;15;5
155;king;;NOUN;NN;pobj;[17, 21];king;cersei_lannister;;;GameOfThrones.Season01.Episode06;15;6
156;.;;PUNCT;.;punct;[22, 23];.;cersei_lannister;;;GameOfThrones.Season01.Episode06;15;7
157;;;;;;;;;;;;;
158;robert_baratheon Hold;;VERB;VB;ROOT;[0, 4];Hold;robert_baratheon;;;GameOfThrones.Season01.Episode06;16;1
159;your;cersei_lannister;DET;PRP$;poss;[5, 9];your;robert_baratheon;;32;GameOfThrones.Season01.Episode06;16;2
160;tongue;;NOUN;NN;dobj;[10, 16];tongue;robert_baratheon;;;GameOfThrones.Season01.Episode06;16;3
161;.;;PUNCT;.;punct;[17, 18];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;16;4
162;;;;;;;;;;;;;
163;cersei_lannister He;UNKNOWN;PRON;PRP;nsubj;[0, 2];He;cersei_lannister;;33;GameOfThrones.Season01.Episode06;17;1
164;’s;;VERB;VBZ;punct;[3, 5];’s;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;2
165;attacked;;VERB;VBN;ROOT;[6, 14];attacked;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;3
166;my;cersei_lannister;DET;PRP$;poss;[15, 17];my;cersei_lannister;;34;GameOfThrones.Season01.Episode06;17;4
167;brother;;NOUN;NN;dobj;[18, 25];brother;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;5
168;and;;CCONJ;CC;cc;[26, 29];and;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;6
169;abducted;;VERB;VBD;conj;[30, 38];abducted;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;7
170;the;;DET;DT;det;[39, 42];the;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;8
171;other;;ADJ;JJ;dobj;[43, 48];other;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;9
172;.;;PUNCT;.;punct;[49, 50];.;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;10
173;I;cersei_lannister;PRON;PRP;nsubj;[51, 52];I;cersei_lannister;;35;GameOfThrones.Season01.Episode06;17;11
174;should;;VERB;MD;aux;[53, 59];should;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;12
175;wear;;VERB;VB;ROOT;[60, 64];wear;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;13
176;the;;DET;DT;det;[65, 68];the;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;14
177;armor;;NOUN;NN;dobj;[69, 74];armor;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;15
178;and;;CCONJ;CC;cc;[75, 78];and;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;16
179;you;robert_baratheon;PRON;PRP;conj;[79, 82];you;cersei_lannister;;36;GameOfThrones.Season01.Episode06;17;17
180;the;;DET;DT;det;[83, 86];the;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;18
181;gown;;NOUN;NN;appos;[87, 91];gown;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;19
182;.;;PUNCT;.;punct;[92, 93];.;cersei_lannister;;;GameOfThrones.Season01.Episode06;17;20
183;;;;;;;;;;;;;
184;cersei_lannister I;cersei_lannister;PRON;PRP;nsubj;[0, 1];I;cersei_lannister;;37;GameOfThrones.Season01.Episode06;18;1
185;shall;;VERB;MD;aux;[2, 7];shall;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;2
186;wear;;VERB;VB;ROOT;[8, 12];wear;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;3
187;this;;DET;DT;dobj;[13, 17];this;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;4
188;like;;SCONJ;IN;prep;[18, 22];like;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;5
189;a;;DET;DT;det;[23, 24];a;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;6
190;badge;;NOUN;NN;pobj;[25, 30];badge;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;7
191;of;;ADP;IN;prep;[31, 33];of;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;8
192;honor;;NOUN;NN;pobj;[34, 39];honor;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;9
193;.;;PUNCT;.;punct;[40, 41];.;cersei_lannister;;;GameOfThrones.Season01.Episode06;18;10
194;;;;;;;;;;;;;
195;robert_baratheon Wear;;VERB;VB;ROOT;[0, 4];Wear;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;1
196;it;;PRON;PRP;dobj;[5, 7];it;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;2
197;in;;ADP;IN;prep;[8, 10];in;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;3
198;silence;;NOUN;NN;pobj;[11, 18];silence;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;4
199;or;;CCONJ;CC;cc;[19, 21];or;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;5
200;I;robert_baratheon;PRON;PRP;nsubj;[22, 23];I;robert_baratheon;;38;GameOfThrones.Season01.Episode06;19;6
201;’ll;;VERB;MD;aux;[24, 27];’ll;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;7
202;honor;;VERB;VB;ROOT;[28, 33];honor;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;8
203;you;eddard_stark;PRON;PRP;dobj;[34, 37];you;robert_baratheon;;39;GameOfThrones.Season01.Episode06;19;9
204;again;;ADV;RB;advmod;[38, 43];again;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;10
205;.;;PUNCT;.;punct;[44, 45];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;19;11
206;;;;;;;;;;;;;
207;robert_baratheon See;;VERB;VB;ROOT;[0, 3];See;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;1
208;what;;PRON;WP;dobj;[4, 8];what;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;2
209;she;UNKNOWN;PRON;PRP;nsubj;[9, 12];she;robert_baratheon;;40;GameOfThrones.Season01.Episode06;20;3
210;does;;AUX;VBZ;ccomp;[13, 17];doe;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;4
211;to;;ADP;IN;prep;[18, 20];to;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;5
212;me;robert_baratheon;PRON;PRP;pobj;[21, 23];me;robert_baratheon;;41;GameOfThrones.Season01.Episode06;20;6
213;?;;PUNCT;.;punct;[24, 25];?;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;7
214;My;robert_baratheon;DET;PRP$;poss;[26, 28];My;robert_baratheon;;42;GameOfThrones.Season01.Episode06;20;8
215;loving;;VERB;VBG;amod;[29, 35];loving;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;9
216;wife;;NOUN;NN;ROOT;[36, 40];wife;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;10
217;.;;PUNCT;.;punct;[41, 42];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;11
218;I;robert_baratheon;PRON;PRP;nsubj;[43, 44];I;robert_baratheon;;43;GameOfThrones.Season01.Episode06;20;12
219;should;;VERB;MD;aux;[45, 51];should;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;13
220;not;;PART;RB;neg;[52, 55];not;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;14
221;have;;AUX;VB;aux;[56, 60];have;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;15
222;hit;;VERB;VBN;ROOT;[61, 64];hit;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;16
223;her;UNKNOWN;PRON;PRP;dobj;[65, 68];her;robert_baratheon;;44;GameOfThrones.Season01.Episode06;20;17
224;.;;PUNCT;.;punct;[69, 70];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;18
225;That;;DET;DT;nsubj;[71, 75];That;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;19
226;was;;AUX;VBD;ROOT;[76, 79];wa;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;20
227;not;;PART;RB;neg;[80, 83];not;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;21
228;…;;PUNCT;NFP;punct;[84, 85];…;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;22
229;That;;DET;DT;nsubj;[86, 90];That;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;23
230;was;;AUX;VBD;ccomp;[91, 94];wa;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;24
231;not;;PART;RB;neg;[95, 98];not;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;25
232;kingly;;ADJ;JJ;acomp;[99, 105];kingly;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;26
233;.;;PUNCT;.;punct;[106, 107];.;robert_baratheon;;;GameOfThrones.Season01.Episode06;20;27
234;;;;;;;;;;;;;
235;eddard_stark If;;SCONJ;IN;mark;[0, 2];If;eddard_stark;;;GameOfThrones.Season01.Episode06;21;1
236;we;multiple_persons;PRON;PRP;nsubj;[3, 5];we;eddard_stark;;45;GameOfThrones.Season01.Episode06;21;2
237;do;;AUX;VBP;aux;[6, 8];do;eddard_stark;;;GameOfThrones.Season01.Episode06;21;3
238;n’t;;PART;RB;neg;[9, 12];n’t;eddard_stark;;;GameOfThrones.Season01.Episode06;21;4
239;act;;VERB;VB;advcl;[13, 16];act;eddard_stark;;;GameOfThrones.Season01.Episode06;21;5
240;…;;PUNCT;NFP;punct;[17, 18];…;eddard_stark;;;GameOfThrones.Season01.Episode06;21;6
241;there;;PRON;EX;expl;[19, 24];there;eddard_stark;;;GameOfThrones.Season01.Episode06;21;7
242;will;will;VERB;MD;aux;[25, 29];will;eddard_stark;;46;GameOfThrones.Season01.Episode06;21;8
243;be;;AUX;VB;ROOT;[30, 32];be;eddard_stark;;;GameOfThrones.Season01.Episode06;21;9
244;a;;DET;DT;det;[33, 34];a;eddard_stark;;;GameOfThrones.Season01.Episode06;21;10
245;war;;NOUN;NN;attr;[35, 38];war;eddard_stark;;;GameOfThrones.Season01.Episode06;21;11
246;.;;PUNCT;.;punct;[39, 40];.;eddard_stark;;;GameOfThrones.Season01.Episode06;21;12
247;;;;;;;;;;;;;
248;robert_baratheon So;;ADV;RB;advmod;[0, 2];So;robert_baratheon;;;GameOfThrones.Season01.Episode06;22;1
249;tell;;VERB;VB;ROOT;[3, 7];tell;robert_baratheon;;;GameOfThrones.Season01.Episode06;22;2
250;your;eddard_stark;DET;PRP$;poss;[8, 12];your;robert_baratheon;;47;GameOfThrones.Season01.Episode06;22;3
251;wife;;NOUN;NN;dobj;[13, 17];wife;robert_baratheon;;;GameOfThrones.Season01.Episode06;22;4
252;to;;PART;TO;aux;[18, 20];to;robert_baratheon;;;GameOfThrones.Season01.Episode06;22;5
