unknown  We interrupt our scheduled programming to bring you breaking news.
hank_schrader  Yeah, this is it.
hank_schrader  Hands down, we're living it.
hank_schrader  mean, I speak with some authority because we definitely had some sty weeks in the past few months, you know
hank_schrader  But this here,
hank_schrader  I mean, call, you know call freakin' the Guinness Book of World Records Call freakin' Am I
hank_schrader  I talking too much?
hank_schrader  I am, right?
hank_schrader  I am. I know.
hank_schrader  Look, look. But this situation between you and, uh uh I'm not
hank_schrader  not asking, by the way.
hank_schrader  Okay? It's none of my business.
hank_schrader  I do not want to get in the middle of you two
hank_schrader  I'm just saying Listen, listen Okay?
hank_schrader  You beat a little tactical retreat. Yeah? And regroup. And then bong
hank_schrader  know, absence makes the I'm
hank_schrader  pulling for you, you know?
hank_schrader  I'm pulling Whoa, whoa.
hank_schrader  No heavy lifting. I
hank_schrader  I got it.
walter_white  No, it's okay
hank_schrader  I got it.
hank_schrader  got in
hank_schrader  there, cinder blocks?
walter_white  a million in cash.
hank_schrader  That's the spirit.
hank_schrader  I got it. I got it
group_leader  Whoo. sighs hatch closes Man Who's here for selfimprovement?
group_leader  Come on, give me a show of hands.
group_leader  Who among you is here hoping they can actively improve who they are?
group_leader  See
group_leader  See, that's your first mistake.
group_leader  You should be here to learn selfacceptance.
skyler_white  Hey, honey, you, uh you want another waffle?
skyler_white  I still got the iron out.
skyler_white  I could cut up some bananas. ring answering machine clicks Skyler's voice Hi,
skyler_white  reached Walt, Skyler, Flynn, and Holly.
skyler_white  Please leave us a message. beeps
walter_white  Hello,
walter_white  everybody. Good
walter_white  Good morning.
walter_white  I was just checking in and thought I'd pass along the current contact information. I
walter_white  mean, certainly, you can always reach me on my cell. I've always got that on me. But in terms of a mailing address, I'm here at The Beachcomber. And you know what? It's actually very nice. It's very pleasant.
walter_white  Not as high end as the Oakwood, but, you know, not as corporate Oh
skyler_white  Oh, hey, would you please just receiver
walter_white_jr.  Junior Hey, Dad. It's me.
walter_white_jr.  No, I'm not okay.
walter_white_jr.  I don't know what the h is going on
walter_white_jr.  Nobody's telling me jack s around here
skyler_white  here. Hey,
walter_white_jr.  What Whatever.
walter_white_jr.  I I don't even care anymore.
walter_white_jr.  Can Can you just give me a ride to school?
skyler_white  take you to school.
walter_white_jr.  Yeah.
walter_white_jr.  No. I I'm ready now.
skyler_white  Flynn, I'm taking you to school.
walter_white_jr.  All right. I'm here.
walter_white_jr.  See you soon.
carmen_molina  May I have your attention, please?
carmen_molina  As all of you know, last week our city suffered a terrible tragedy,
carmen_molina  one that none of us will ever forget,
carmen_molina  which is why today we're going to take a little time out of our schedule to gather in the gym and talk
barry  I just find it, you know, really really hard to concentrate
barry  because of all the horrors, you know, we perceived.
barry  It just really gets inside your brain,
barry  In college they have this thing where, if your roommate kills himself like, if you come home and find him hanging in the closet or whatever it's basically, like, an automatic" A" for you.
barry  And I just think that that kind of compassion is
barry  is something
carmen_molina  something to Okay.
carmen_molina  Thank you, Barry.
carmen_molina  Who wants to go next?
carmen_molina  No judgments, guys.
carmen_molina  Just feelings.
carmen_molina  You can say anything and everything that's on your mind.
carmen_molina  Anyone?
carmen_molina  There you go,
sad_faced_girl  I just keep asking myself
carmen_molina  could you please stand up
Sad_Faced_Girl  Just keep asking myself," Why did this
sad_faced_girl  I mean, if there's a God and all, why does he allow all those innocent people to die for no reason?
carmen_molina  Okay, can we just keep it secular, honey?
sad_faced_girl  Anyhow, I haven't really been sleeping much.
sad_faced_girl  Does anyone else have that
sad_faced_girl  keep hearing that that sound
sad_faced_girl  That boom.
sad_faced_girl  It just plays over and over in my head like it won't ever stop.
carmen_molina  Thank you,
carmen_molina  Is there anyone else?
wide_eyed_boy  My neighbor, he heard the crash, and he ran out to his front yard, and he found, like, this seat you
wide_eyed_boy  know, like, an airline seat.
wide_eyed_boy  Like one you have on an airliner?
wide_eyed_boy  Well, anyway, the seat was standing perfectly upright in his front yard, right next to his SeaDoos because, like, he has SeaDoos But
wide_eyed_boy  But there was still a pair of legs buckled into them.
wide_eyed_boy  Human legs.
walter_white  H. C.
walter_white  Sorry.
walter_white  I um I was just moved.
carmen_molina  Maybe we should hear from the faculty.
carmen_molina  Certainly this tragedy didn't only affect our students.
carmen_molina  Mr. White, would you like to say something?
carmen_molina  by the way, welcome back.
walter_white  It's so good to have you back. mutters Uh I guess what I I would Sorry
walter_white  Sorry.
walter_white  I guess what I would want to say is to look on the bright side.
walter_white  First of all, nobody on the ground was killed.
walter_white  And that I mean, an incident like this over a populated urban center
walter_white  That right there, that's that's just gotta be some minor miracle
walter_white  Plus, neither plane was full.
walter_white  You know, the the 737 was was what? Uh, maybe twothirds full, I believe. Right
walter_white  Right? Yes?
walter_white  Or maybe even threequarters full.
walter_white  Well, at any rate, what you're left with casualtywise is just the 50th worst air disaster.
walter_white  Actually, tied for 50th.
walter_white  There are, in truth, that are just as bad or worse
walter_white  Tenerife?
walter_white  Has anybody anybody
walter_white  anybody hear of Tenerife?
walter_white  No?
walter_white  In 1977, two fully loaded 747s crashed into each other on Tenerife.
walter_white  Does anybody know how big a 747 is?
walter_white  I mean, it's way bigger than a 737. And we're talking about two of them.
walter_white  Nearly 600 people died on Tenerife.
walter_white  Doesn't any of you even remember it at all?
walter_white  Any of you?
walter_white  I doubt it.
walter_white  You know why?
walter_white  because people move on.
walter_white  They just move on.
walter_white  we will, too.
walter_white  We will move on, and we will get past this
walter_white  because that is what human beings do. We survive. And
walter_white  We survive, and and we we overcome.
walter_white  We survive.
walter_white  We survive,
walter_white  Hey, how's your Aunt Marie doing?
walter_white_jr.  Fine, I guess.
walter_white  You make sure you say hello to her for me, will you
walter_white_jr.  Why don't you just come inside?
walter_white_jr.  It's your house.
walter_white_jr.  Marie Hey,
marie_schrader  It's
marie_schrader  It's an expression.
marie_schrader  How are you
walter_white_jr.  Why do you gotta treat him like this?
walter_white_jr.  Why you gotta be like this?
walter_white_jr.  Why can't you just talk,
marie_schrader  even?
marie_schrader  Hey,
marie_schrader  Out of the mouths of babes, huh?
marie_schrader  You know, try not to hold it against him.
marie_schrader  You know, I mean, the poor kid, he's probably just dying of curiosity.
marie_schrader  You know, and I guess it would be natural for him to wonder.
marie_schrader  he's probably just wondering, you know, what is it that could have gone so wrong Marie
skyler_white  Marie. that
marie_schrader  that my mother would leave Marie
skyler_white  Marie.
marie_schrader  I can't help you get through this, Skyler, you know, if you won't tell me what it is that Walt did.
skyler_white  Well, you know what? I don't I don't remember asking you, all right? Well,
skyler_white  I think that's So if you want to be supportive, the reason you're stuck. you could be supportive without prying, that
skyler_white  that would be really great
marie_schrader  Prying, okay
marie_schrader  okay. and so Well, prying's a strong word
skyler_white  word, but I don't helpful.
group_leader  It's that voice inside your head.
group_leader  It's that sneaky, ratbastard, 24/7 voice.
group_leader  You guys know what I'm talking about.
group_leader  That voice that tells you you're not good enough
group_leader  Not good enough for what?
group_leader  Not good enough to be what, President of the United States?
group_leader  Well, okay, so maybe you're not that good.
group_leader  now are you good enough to deserve your share of basic human happiness?
group_leader  Are you good enough to be okay with who and what you are?
group_leader  I say yes.
group_leader  it doesn't matter what I say.
group_leader  It's your voice, which means you're the only one that hears it,
group_leader  which means that you're the only one that can fight it. Right?
group_leader  Jesse we never hear from you.
group_leader  What's going on?
group_leader  You can tell me I'm full of s. It's
group_leader  It's okay. I don't mind.
group_leader  Just Come on.
group_leader  Let us in on it.
jesse_pinkman  So, like, what makes you the expert?
group_leader  I don't think I ever said I was that.
jesse_pinkman  Yeah, but you're the one sitting here, right?
Jesse_Pinkman  Telling us thus and so, be happy, forgive yourself, blah, blah, blah.
jesse_pinkman  Have you ever really hurt anybody?
jesse_pinkman  I don't just mean disappointed your mother or whatever, but did you ever really hurt someone?
group_leader  I killed my daughter.
group_leader  It was July 18 which is my birthday.
group_leader  July 18, 1992.
group_leader  I was high on cocaine, and I was drunk.
group_leader  Cocaine wasn't an issue because
group_leader  because I had bought myself 2 grams the night before as a birthday present.
group_leader  I had plenty left.
group_leader  But I was out of vodka.
group_leader  And this is in Portsmouth, Virginia, where instead of selling liquor in the supermarkets, they have these ABC stores which close at 5 p. m. And right then it was, like, 4:42. So
group_leader  I'm arguing with my wife"
group_leader  on, go
group_leader  go to the ABC for me." It's my birthday."
group_leader  Come on.
Group_Leader  They're not gonna sell it to me.
group_leader  She's saying," No, no.
group_leader  So I'm ped,
group_leader  and the clock is ticking, so I jump in my truck.
group_leader  She's my 6yearold daughter
group_leader  She's playing at the end of the driveway.
jesse_pinkman  How do you not hate yourself?
group_leader  I did hate myself for a long time
group_leader  But it didn't stop me from drinking and getting high.
group_leader  It just made it that much worse.
group_leader  Selfhatred, guilt, it accomplishes nothing.
group_leader  It just stands in the way.
jesse_pinkman  Stands in the way of what?
group_leader  True change.
walter_white  Skyler,
skyler_white  this a good time to talk?
walter_white  Yeah.
walter_white  Come in,
walter_white  please.
walter_white  Skyler.
walter_white  Do you want to start?
walter_white  Why Why are you doing this?
walter_white  Why are you even thinking this way?
walter_white  Is it to punish me?
skyler_white  am not punishing you, Walt.
walter_white  This is punitive is what this is.
walter_white  We are happily married.
walter_white  I am happily married.
walter_white  I am happy.
walter_white  We're just
walter_white  I love you, Skyler,
walter_white  and I would do anything for you.
walter_white  Would you even consider I
walter_white  I mean, J!
walter_white  You come in here, and you wave these papers in my face, when there's a whole other entire side to this thing.
walter_white  There's your side, and there's my side. And you haven't heard my side yet.
walter_white  You haven't heard any of it at all.
skyler_white  You're a drug dealer.
walter_white  No.
walter_white  What
skyler_white  How else could you possibly make that kind of money?
skyler_white  Marijuana.
skyler_white  That Pinkman kid.
skyler_white  No?
skyler_white  my God, Walt.
skyler_white  Cocaine?
walter_white  It's methamphetamine. But I I'm
walter_white  I manufacture. I am not a dealer. Oh. Per se.
walter_white  It doesn't gasps No, Skyler.
walter_white  Listen to me, Skyler. No. Listen.
skyler_white  No.
walter_white  There are a lot of angles to this, okay? It's
walter_white  It's complicated, all right?
walter_white  So please,
walter_white  Please, let's just sit back down, and we'll talk it through.
skyler_white  I'm gonna make you a deal, Walt.
skyler_white  I won't tell Hank, and I won't tell your children or anybody else.
skyler_white  Nobody will hear it from me,
skyler_white  but only if you grant me this divorce and stay out of our lives.
walter_white  No, Skyler. I
skyler_white  I mean it.
skyler_white  Now let me the h out of here before I throw up.
jesse_pinkman  windshield's broken.
walter_white  little friction in the marriage right now.
walter_white  Strictly temporary.
walter_white  We're just
walter_white  just taking a little break.
walter_white  that's you over there
walter_white  Listen, um, money.
walter_white  Saul has got it for you, and so as so as you're feeling better I'm
jesse_pinkman  I'm better.
walter_white  You're better.
walter_white  Really?
walter_white  The rehab?
walter_white  It helped
jesse_pinkman  I'm done using.
walter_white  That's excellent.
walter_white  That's
walter_white  That's very good, Jesse.
walter_white  Boy Very good.
walter_white  You know, um in spite of how bad things got, it really could be looked at like a wakeup call for th of us.
walter_white  I mean, you know, just to get our our lives back together again and on the straight and narrow.
jesse_pinkman  You been following this airplane crash?
jesse_pinkman  You know it was Jane's dad who accidentally crashed them together? Because he was so torn up?
walter_white  look, let me stop you right there, all right?
walter_white  You are not responsible for this not
walter_white  not in any way, shape, or form, all right?
walter_white  Now, I I am very uptodate on this thing, probably far more than you are, and there are there are many factors at play there.
jesse_pinkman  Yeah
walter_white  For instance, there's some sort of collision radar on the jet that may not have been working properly.
walter_white  Now, that's public record. You
walter_white  You can look that up.
walter_white  And the whole system is run on on 1960s technology.
walter_white  No
walter_white  No, really I blame the government.
jesse_pinkman  You either run from things, or you face them, Mr. White.
walter_white  what exactly does that mean
jesse_pinkman  I learned it in rehab.
jesse_pinkman  It's all about accepting who you really are.
jesse_pinkman  I accept who I am.
walter_white  And who are you?
jesse_pinkman  I'm the bad guy.
gustavo_fring  Is the food to your satisfaction?
walter_white  Very much.
gustavo_fring  It's good to see you again.
gustavo_fring  I have an offer that I think will be of interest to you
walter_white  I actually am not here to
walter_white  I'm here because I owe you the courtesy and respect to tell you this personally.
walter_white  I'm done.
walter_white  It has nothing to do with you personally.
walter_white  I find you extraordinarily professional, and I appreciate the way you do business.
walter_white  I'm just making a change in my life is what it is, and
walter_white  and I'm I'm
walter_white  at some something of a crossroads. It has brought me to a realization.
walter_white  I am not a criminal.
walter_white  No offense to any people who are. But this is not me.
gustavo_fring  to hear my offer,
walter_white  It won't change my mind. I'm sorry.
gustavo_fring  $3 million for three months of your time.
walter_white  Three months,
gustavo_fring  May
walter_white  I have money.
walter_white  I have more money than know how to spend
walter_white  I don't have is my family.
walter_white  The answer is still no
gustavo_fring  Enjoy your meal.
olive_oil  Thank you. thumping gunfire gunfire
olive_oil  gunfire continues
olive_oil  continues What the h is
olive_oil  is going on in there? gunfire gunshot grunts gunshot
